ID,Description,Data_type,Method_WES,N_WES,N_Case_WES,N_Control_WES,Gender_specific,URL
25277,Mean L2 in posterior thalamic radiation on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25277.v1.fastGWA.gz
25278,Mean L2 in sagittal stratum on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25278.v1.fastGWA.gz
25279,Mean L2 in sagittal stratum on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25279.v1.fastGWA.gz
25280,Mean L2 in external capsule on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25280.v1.fastGWA.gz
25281,Mean L2 in external capsule on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25281.v1.fastGWA.gz
25282,Mean L2 in cingulum cingulate gyrus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25282.v1.fastGWA.gz
25283,Mean L2 in cingulum cingulate gyrus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25283.v1.fastGWA.gz
25284,Mean L2 in cingulum hippocampus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25284.v1.fastGWA.gz
25285,Mean L2 in cingulum hippocampus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25285.v1.fastGWA.gz
25286,Mean L2 in fornix cres+stria terminalis on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25286.v1.fastGWA.gz
25287,Mean L2 in fornix cres+stria terminalis on FA skeleton (left),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25287.v1.fastGWA.gz
25288,Mean L2 in superior longitudinal fasciculus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25288.v1.fastGWA.gz
25289,Mean L2 in superior longitudinal fasciculus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25289.v1.fastGWA.gz
25290,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25290.v1.fastGWA.gz
25291,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25291.v1.fastGWA.gz
25292,Mean L2 in uncinate fasciculus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25292.v1.fastGWA.gz
25293,Mean L2 in uncinate fasciculus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25293.v1.fastGWA.gz
25294,Mean L2 in tapetum on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25294.v1.fastGWA.gz
25295,Mean L2 in tapetum on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25295.v1.fastGWA.gz
25296,Mean L3 in middle cerebellar peduncle on FA skeleton,Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25296.v1.fastGWA.gz
25297,Mean L3 in pontine crossing tract on FA skeleton,Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25297.v1.fastGWA.gz
25298,Mean L3 in genu of corpus callosum on FA skeleton,Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25298.v1.fastGWA.gz
25299,Mean L3 in body of corpus callosum on FA skeleton,Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25299.v1.fastGWA.gz
25300,Mean L3 in splenium of corpus callosum on FA skeleton,Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25300.v1.fastGWA.gz
25301,Mean L3 in fornix on FA skeleton,Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25301.v1.fastGWA.gz
25302,Mean L3 in corticospinal tract on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25302.v1.fastGWA.gz
25303,Mean L3 in corticospinal tract on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25303.v1.fastGWA.gz
25304,Mean L3 in medial lemniscus on FA skeleton (right),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25304.v1.fastGWA.gz
25305,Mean L3 in medial lemniscus on FA skeleton (left),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25305.v1.fastGWA.gz
25306,Mean L3 in inferior cerebellar peduncle on FA skeleton (right),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25306.v1.fastGWA.gz
25307,Mean L3 in inferior cerebellar peduncle on FA skeleton (left),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25307.v1.fastGWA.gz
25308,Mean L3 in superior cerebellar peduncle on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25308.v1.fastGWA.gz
25309,Mean L3 in superior cerebellar peduncle on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25309.v1.fastGWA.gz
25310,Mean L3 in cerebral peduncle on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25310.v1.fastGWA.gz
25311,Mean L3 in cerebral peduncle on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25311.v1.fastGWA.gz
25312,Mean L3 in anterior limb of internal capsule on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25312.v1.fastGWA.gz
25313,Mean L3 in anterior limb of internal capsule on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25313.v1.fastGWA.gz
25314,Mean L3 in posterior limb of internal capsule on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25314.v1.fastGWA.gz
25315,Mean L3 in posterior limb of internal capsule on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25315.v1.fastGWA.gz
25316,Mean L3 in retrolenticular part of internal capsule on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25316.v1.fastGWA.gz
25317,Mean L3 in retrolenticular part of internal capsule on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25317.v1.fastGWA.gz
25318,Mean L3 in anterior corona radiata on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25318.v1.fastGWA.gz
25319,Mean L3 in anterior corona radiata on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25319.v1.fastGWA.gz
25320,Mean L3 in superior corona radiata on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25320.v1.fastGWA.gz
25321,Mean L3 in superior corona radiata on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25321.v1.fastGWA.gz
25322,Mean L3 in posterior corona radiata on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25322.v1.fastGWA.gz
25323,Mean L3 in posterior corona radiata on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25323.v1.fastGWA.gz
25324,Mean L3 in posterior thalamic radiation on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25324.v1.fastGWA.gz
25325,Mean L3 in posterior thalamic radiation on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25325.v1.fastGWA.gz
25326,Mean L3 in sagittal stratum on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25326.v1.fastGWA.gz
25327,Mean L3 in sagittal stratum on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25327.v1.fastGWA.gz
25328,Mean L3 in external capsule on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25328.v1.fastGWA.gz
25329,Mean L3 in external capsule on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25329.v1.fastGWA.gz
25330,Mean L3 in cingulum cingulate gyrus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25330.v1.fastGWA.gz
25331,Mean L3 in cingulum cingulate gyrus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25331.v1.fastGWA.gz
25332,Mean L3 in cingulum hippocampus on FA skeleton (right),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25332.v1.fastGWA.gz
25333,Mean L3 in cingulum hippocampus on FA skeleton (left),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25333.v1.fastGWA.gz
25334,Mean L3 in fornix cres+stria terminalis on FA skeleton (right),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25334.v1.fastGWA.gz
25335,Mean L3 in fornix cres+stria terminalis on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25335.v1.fastGWA.gz
25336,Mean L3 in superior longitudinal fasciculus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25336.v1.fastGWA.gz
25337,Mean L3 in superior longitudinal fasciculus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25337.v1.fastGWA.gz
25338,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25338.v1.fastGWA.gz
25339,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),Continuous,LR,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25339.v1.fastGWA.gz
25340,Mean L3 in uncinate fasciculus on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25340.v1.fastGWA.gz
25341,Mean L3 in uncinate fasciculus on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25341.v1.fastGWA.gz
25342,Mean L3 in tapetum on FA skeleton (right),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25342.v1.fastGWA.gz
25343,Mean L3 in tapetum on FA skeleton (left),Continuous,MLM,9859,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25343.v1.fastGWA.gz
25344,Mean ICVF in middle cerebellar peduncle on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25344.v1.fastGWA.gz
25345,Mean ICVF in pontine crossing tract on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25345.v1.fastGWA.gz
25346,Mean ICVF in genu of corpus callosum on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25346.v1.fastGWA.gz
25347,Mean ICVF in body of corpus callosum on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25347.v1.fastGWA.gz
25348,Mean ICVF in splenium of corpus callosum on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25348.v1.fastGWA.gz
25349,Mean ICVF in fornix on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25349.v1.fastGWA.gz
25350,Mean ICVF in corticospinal tract on FA skeleton (right),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25350.v1.fastGWA.gz
25351,Mean ICVF in corticospinal tract on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25351.v1.fastGWA.gz
25352,Mean ICVF in medial lemniscus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25352.v1.fastGWA.gz
25353,Mean ICVF in medial lemniscus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25353.v1.fastGWA.gz
25354,Mean ICVF in inferior cerebellar peduncle on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25354.v1.fastGWA.gz
25355,Mean ICVF in inferior cerebellar peduncle on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25355.v1.fastGWA.gz
25356,Mean ICVF in superior cerebellar peduncle on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25356.v1.fastGWA.gz
25357,Mean ICVF in superior cerebellar peduncle on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25357.v1.fastGWA.gz
25358,Mean ICVF in cerebral peduncle on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25358.v1.fastGWA.gz
25359,Mean ICVF in cerebral peduncle on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25359.v1.fastGWA.gz
25360,Mean ICVF in anterior limb of internal capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25360.v1.fastGWA.gz
25361,Mean ICVF in anterior limb of internal capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25361.v1.fastGWA.gz
25362,Mean ICVF in posterior limb of internal capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25362.v1.fastGWA.gz
25363,Mean ICVF in posterior limb of internal capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25363.v1.fastGWA.gz
25364,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25364.v1.fastGWA.gz
25365,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25365.v1.fastGWA.gz
25366,Mean ICVF in anterior corona radiata on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25366.v1.fastGWA.gz
25367,Mean ICVF in anterior corona radiata on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25367.v1.fastGWA.gz
25368,Mean ICVF in superior corona radiata on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25368.v1.fastGWA.gz
25369,Mean ICVF in superior corona radiata on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25369.v1.fastGWA.gz
25370,Mean ICVF in posterior corona radiata on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25370.v1.fastGWA.gz
25371,Mean ICVF in posterior corona radiata on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25371.v1.fastGWA.gz
25372,Mean ICVF in posterior thalamic radiation on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25372.v1.fastGWA.gz
25373,Mean ICVF in posterior thalamic radiation on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25373.v1.fastGWA.gz
25374,Mean ICVF in sagittal stratum on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25374.v1.fastGWA.gz
25375,Mean ICVF in sagittal stratum on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25375.v1.fastGWA.gz
25376,Mean ICVF in external capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25376.v1.fastGWA.gz
25377,Mean ICVF in external capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25377.v1.fastGWA.gz
25378,Mean ICVF in cingulum cingulate gyrus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25378.v1.fastGWA.gz
25379,Mean ICVF in cingulum cingulate gyrus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25379.v1.fastGWA.gz
25380,Mean ICVF in cingulum hippocampus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25380.v1.fastGWA.gz
25381,Mean ICVF in cingulum hippocampus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25381.v1.fastGWA.gz
25382,Mean ICVF in fornix cres+stria terminalis on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25382.v1.fastGWA.gz
25383,Mean ICVF in fornix cres+stria terminalis on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25383.v1.fastGWA.gz
25384,Mean ICVF in superior longitudinal fasciculus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25384.v1.fastGWA.gz
25385,Mean ICVF in superior longitudinal fasciculus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25385.v1.fastGWA.gz
25386,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25386.v1.fastGWA.gz
25387,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25387.v1.fastGWA.gz
25388,Mean ICVF in uncinate fasciculus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25388.v1.fastGWA.gz
25389,Mean ICVF in uncinate fasciculus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25389.v1.fastGWA.gz
25390,Mean ICVF in tapetum on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25390.v1.fastGWA.gz
25391,Mean ICVF in tapetum on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25391.v1.fastGWA.gz
25392,Mean OD in middle cerebellar peduncle on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25392.v1.fastGWA.gz
25393,Mean OD in pontine crossing tract on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25393.v1.fastGWA.gz
25394,Mean OD in genu of corpus callosum on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25394.v1.fastGWA.gz
25395,Mean OD in body of corpus callosum on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25395.v1.fastGWA.gz
25396,Mean OD in splenium of corpus callosum on FA skeleton,Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25396.v1.fastGWA.gz
25397,Mean OD in fornix on FA skeleton,Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25397.v1.fastGWA.gz
25398,Mean OD in corticospinal tract on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25398.v1.fastGWA.gz
25399,Mean OD in corticospinal tract on FA skeleton (left),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25399.v1.fastGWA.gz
25400,Mean OD in medial lemniscus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25400.v1.fastGWA.gz
25401,Mean OD in medial lemniscus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25401.v1.fastGWA.gz
25402,Mean OD in inferior cerebellar peduncle on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25402.v1.fastGWA.gz
25403,Mean OD in inferior cerebellar peduncle on FA skeleton (left),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25403.v1.fastGWA.gz
25404,Mean OD in superior cerebellar peduncle on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25404.v1.fastGWA.gz
25405,Mean OD in superior cerebellar peduncle on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25405.v1.fastGWA.gz
25406,Mean OD in cerebral peduncle on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25406.v1.fastGWA.gz
25407,Mean OD in cerebral peduncle on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25407.v1.fastGWA.gz
25408,Mean OD in anterior limb of internal capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25408.v1.fastGWA.gz
25409,Mean OD in anterior limb of internal capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25409.v1.fastGWA.gz
25410,Mean OD in posterior limb of internal capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25410.v1.fastGWA.gz
25411,Mean OD in posterior limb of internal capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25411.v1.fastGWA.gz
25412,Mean OD in retrolenticular part of internal capsule on FA skeleton (right),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25412.v1.fastGWA.gz
25413,Mean OD in retrolenticular part of internal capsule on FA skeleton (left),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25413.v1.fastGWA.gz
25414,Mean OD in anterior corona radiata on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25414.v1.fastGWA.gz
25415,Mean OD in anterior corona radiata on FA skeleton (left),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25415.v1.fastGWA.gz
25416,Mean OD in superior corona radiata on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25416.v1.fastGWA.gz
25417,Mean OD in superior corona radiata on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25417.v1.fastGWA.gz
25418,Mean OD in posterior corona radiata on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25418.v1.fastGWA.gz
25419,Mean OD in posterior corona radiata on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25419.v1.fastGWA.gz
25420,Mean OD in posterior thalamic radiation on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25420.v1.fastGWA.gz
25421,Mean OD in posterior thalamic radiation on FA skeleton (left),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25421.v1.fastGWA.gz
25422,Mean OD in sagittal stratum on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25422.v1.fastGWA.gz
25423,Mean OD in sagittal stratum on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25423.v1.fastGWA.gz
25424,Mean OD in external capsule on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25424.v1.fastGWA.gz
25425,Mean OD in external capsule on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25425.v1.fastGWA.gz
25426,Mean OD in cingulum cingulate gyrus on FA skeleton (right),Continuous,LR,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25426.v1.fastGWA.gz
25427,Mean OD in cingulum cingulate gyrus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25427.v1.fastGWA.gz
25428,Mean OD in cingulum hippocampus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25428.v1.fastGWA.gz
25429,Mean OD in cingulum hippocampus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25429.v1.fastGWA.gz
25430,Mean OD in fornix cres+stria terminalis on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25430.v1.fastGWA.gz
25431,Mean OD in fornix cres+stria terminalis on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25431.v1.fastGWA.gz
25432,Mean OD in superior longitudinal fasciculus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25432.v1.fastGWA.gz
25433,Mean OD in superior longitudinal fasciculus on FA skeleton (left),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25433.v1.fastGWA.gz
25434,Mean OD in superior fronto-occipital fasciculus on FA skeleton (right),Continuous,MLM,9857,,,,http://data.qld.edu.au/public/Q1031/UKB_WES_v1/25434.v1.fastGWA.gz
